,0
applex,0.0
application,1.4285714285714285e-05
applications,7.142857142857143e-06
apply,7.142857142857143e-06
approximate,0.0
apps,5.714285714285714e-05
apsc,0.0
apu,1.4285714285714285e-05
aqa,0.0
aqua,2.1428571428571428e-05
aquapure,7.142857142857143e-06
aquarly,7.142857142857143e-06
aquawoman,7.142857142857143e-06
aqva,0.0
aqvapourhomme,0.0
ar,0.005228571428571429
arabi,0.0
arabica,0.0
aramis,0.0
arash,7.142857142857143e-06
arashi,0.0
arc,0.00011428571428571428
arch,5e-05
archer,0.0
arden,1.4285714285714285e-05
ardeshir,7.142857142857143e-06
arduino,0.0
are,0.0005714285714285715
aref,1.4285714285714285e-05
areon,7.142857142857143e-06
argan,0.0
aria,7.142857142857143e-06
arial,0.0
arian,0.0
arimas,0.0
ark,0.00031428571428571427
arkham,1.4285714285714285e-05
arko,7.142857142857143e-06
arm,0.00022857142857142857
arma,3.571428571428572e-05
arman,3.571428571428572e-05
armor,7.142857142857143e-05
armour,1.4285714285714285e-05
armoury,0.0
arms,7.142857142857143e-06
army,0.0
arods,0.0
around,1.4285714285714285e-05
arp,8.571428571428571e-05
arpege,0.0
arrival,0.0
arrive,0.0
arrow,0.0
arsham,1.4285714285714285e-05
arshia,7.142857142857143e-06
arshidabeauty,0.0
art,0.0009642857142857143
artdeco,0.0
artrage,0.0
arya,2.857142857142857e-05
aryanghiabaklooo,0.0
arz,3.571428571428572e-05
arzenfone,0.0
arzeshe,0.0
arzeshesh,0.0
arzeshesho,0.0
arzon,0.0
as,0.003157142857142857
asahi,0.0
asal,0.0
asassainss,0.0
asata,0.0
ascend,7.142857142857143e-06
ascent,0.0
asfalt,7.142857142857143e-06
ash,0.0003
asheghe,0.0
ashes,2.1428571428571428e-05
ashkan,7.142857142857143e-06
ashqal,0.0
ashraf,0.0
ashtebas,0.0
ashtray,0.0
asix,0.0
asl,0.0
aslan,0.0
asli,0.0
asm,2.1428571428571428e-05
asphalt,5.714285714285714e-05
asphalte,7.142857142857143e-06
aspire,2.857142857142857e-05
asr,7.142857142857143e-06
asraarehasti,0.0
asrin,0.0
asrock,0.0
assasins,0.0
assassin,8.571428571428571e-05
assassinamp,0.0
assassins,5.714285714285714e-05
asseto,7.142857142857143e-06
assinsain,0.0
assist,2.1428571428571428e-05
assistan,2.1428571428571428e-05
assistance,0.0
assistant,1.4285714285714285e-05
assoluto,0.0
assume,0.0
astell,0.0
astiak,7.142857142857143e-06
astringent,7.142857142857143e-06
astrum,1.4285714285714285e-05
asun,0.0
asus,0.0004714285714285714
asuse,1.4285714285714285e-05
asusg,7.142857142857143e-06
asuspro,1.4285714285714285e-05
asuszenphone,0.0
asuz,7.142857142857143e-06
asx,7.142857142857143e-06
at,0.004078571428571429
ata,0.0005714285714285715
atd,0.0
atelaateton,0.0
atena,7.142857142857143e-06
atf,0.0
atg,0.0
atheros,0.0
athlon,0.0
athm,0.0
athmsr,0.0
ati,0.0006
atis,3.571428571428572e-05
atiyeh,0.0
atm,5.714285714285714e-05
atmos,0.0
atom,7.142857142857143e-06
atp,0.0
atre,0.0
atreus,0.0
atri,2.1428571428571428e-05
atrin,7.142857142857143e-06
atrre,0.0
ats,0.00012857142857142858
att,0.00034285714285714285
attach,0.0
attack,0.0
atx,7.142857142857143e-06
au,0.0011785714285714286
aubreb,0.0
audf,0.0
audi,0.00011428571428571428
audio,0.00011428571428571428
audiotechnica,0.0
auditor,0.0
aukey,2.1428571428571428e-05
auo,0.0
aura,2.857142857142857e-05
aurora,7.142857142857143e-06
aus,9.285714285714286e-05
austria,0.0
aut,0.00016428571428571428
auto,9.285714285714286e-05
autoaging,0.0
autocad,7.142857142857143e-06
autodesk,0.0
autohotkey,0.0
autoid,0.0
autolearning,0.0
automatic,7.142857142857143e-06
autonegotiation,0.0
aux,0.0006
auxiliray,7.142857142857143e-06
av,0.0006571428571428571
available,0.0
avalon,7.142857142857143e-06
avaz,7.142857142857143e-06
avchd,7.142857142857143e-06
avcomparatives,0.0
avdf,7.142857142857143e-06
avene,0.0
avenger,7.142857142857143e-06
avengers,0.0
avenjer,7.142857142857143e-06
average,0.0
avet,0.0
avi,0.00022857142857142857
avision,7.142857142857143e-06
avizoonesh,0.0
avnger,7.142857142857143e-06
avr,1.4285714285714285e-05
avtest,0.0
avtv,7.142857142857143e-06
avva,0.0
avz,0.0
aw,0.0010214285714285714
awaii,1.4285714285714285e-05
awake,7.142857142857143e-06
awali,0.0
award,0.0
awc,0.0
awd,0.0
awei,0.0008571428571428571
awli,0.0
awlibod,0.0
awlie,0.0
awlii,0.0
awliii,0.0
awliiiii,0.0
awliiiiiiiiiiiii,0.0
awliye,0.0
awmin,0.0
awmjn,0.0
ax,0.0022214285714285712
axact,0.0
axe,2.857142857142857e-05
axial,7.142857142857143e-06
axis,7.142857142857143e-06
axisc,0.0
axon,0.0
ayda,7.142857142857143e-06
aydadlv,0.0
aydin,0.0
aydingg,0.0
aylar,0.0
ayvanbts,0.0
az,0.0004214285714285714
azash,7.142857142857143e-06
azatoon,0.0
azina,7.142857142857143e-06
azizi,7.142857142857143e-06
azur,0.0
azw,0.0
azzaro,7.142857142857143e-06
b,0.011378571428571429
ba,0.0018642857142857144
baba,0.0
babbel,7.142857142857143e-06
babuliss,7.142857142857143e-06
baby,1.4285714285714285e-05
babyliss,7.142857142857143e-06
babylone,7.142857142857143e-06
back,0.0002357142857142857
backbeat,0.0
backforward,0.0
backgrond,7.142857142857143e-06
background,1.4285714285714285e-05
backgrounddata,7.142857142857143e-06
backlight,2.1428571428571428e-05
backpack,7.142857142857143e-06
backspace,1.4285714285714285e-05
backup,7.142857142857143e-06
backward,7.142857142857143e-06
bacter,0.0
bad,7.142857142857143e-06
badan,0.0
badansazi,0.0
badaz,0.0
bade,0.0
badish,0.0
bag,0.0
baghie,0.0
bahash,0.0
baiking,0.0
bak,0.0
bala,7.142857142857143e-06
balaei,0.0
balance,7.142857142857143e-06
balanced,7.142857142857143e-06
balck,0.0
baldessarini,0.0
balke,0.0
ball,7.142857142857143e-06
bama,0.0
bamboo,0.0
bampo,0.0
ban,0.0009142857142857143
bana,7.142857142857143e-06
banafshe,0.0
banana,0.0
band,0.0008
bandage,2.857142857142857e-05
bandchina,0.0
bandeg,7.142857142857143e-06
bandesh,0.0
bands,0.0
banfsheh,7.142857142857143e-06
bang,0.0
bank,7.142857142857143e-05
baonqtlmt,0.0
baqie,0.0
bar,1.4285714285714285e-05
bara,0.0
barabar,0.0
baraghtar,0.0
baram,0.0
baraye,0.0
barcelona,7.142857142857143e-06
barcode,0.0
bardari,0.0
bardwell,0.0
barghelame,0.0
barkhordare,0.0
baro,0.0
barracuda,0.0
barricade,0.0
basan,0.0
base,5e-05
basemark,7.142857142857143e-06
baseus,0.0
bashar,0.0
bashe,0.0
bashee,0.0
bashid,0.0
basic,2.1428571428571428e-05
bass,8.571428571428571e-05
baste,0.0
batch,7.142857142857143e-06
batlefild,0.0
batmaaan,0.0
batman,1.4285714285714285e-05
batoning,0.0
battelfield,7.142857142857143e-06
battelfild,7.142857142857143e-06
battellefild,0.0
batteries,0.0
battery,4.2857142857142856e-05
battle,0.00011428571428571428
battlefeild,0.0
battlefield,7.857142857142857e-05
battlefiled,7.142857142857143e-06
battlefront,7.142857142857143e-06
battlfield,1.4285714285714285e-05
battry,0.0
baune,7.142857142857143e-06
bayad,0.0
baz,1.4285714285714285e-05
bazar,0.0
bazi,1.4285714285714285e-05
bazicenter,7.142857142857143e-06
bazie,0.0
bazim,7.142857142857143e-06
bazooka,0.0
bb,4.2857142857142856e-05
bba,0.0
bbc,0.0
bbe,1.4285714285714285e-05
bbhhvvvnjvbg,0.0
bbu,0.0
bc,4.2857142857142856e-05
bcm,0.0
bco,7.142857142857143e-06
bdh,0.0
bdune,0.0
bdzq,0.0
be,0.0007928571428571429
bealpha,0.0
beargrylls,0.0
bearing,0.0
beast,7.142857142857143e-06
beasty,0.0
beat,7.857142857142857e-05
beats,6.428571428571429e-05
beauty,4.2857142857142856e-05
bebakhshid,0.0
bedan,0.0
bedim,0.0
bedin,0.0
beem,7.142857142857143e-06
bege,0.0
begirid,0.0
begirin,0.0
behaivor,7.142857142857143e-06
behesh,0.0
behetoon,0.0
behi,7.142857142857143e-06
behind,7.142857142857143e-06
behnaz,0.0
behrad,7.142857142857143e-06
behrooz,7.142857142857143e-06
behrouz,7.142857142857143e-06
behtare,0.0
behtari,0.0
behtarin,0.0
behzad,0.0
beidou,0.0
beigi,0.0
bekharam,0.0
belcando,7.142857142857143e-06
beli,0.0
belk,7.142857142857143e-06
belker,0.0
belkin,7.142857142857143e-06
bell,2.857142857142857e-05
bello,7.142857142857143e-06
below,0.0
bem,0.0
ben,5.714285714285714e-05
benazare,0.0
benchmark,2.1428571428571428e-05
bendazim,0.0
benq,7.142857142857143e-06
benro,7.142857142857143e-06
benten,0.0
benzoate,0.0
benzoic,0.0
ber,0.00013571428571428572
berenji,0.0
berese,0.0
beretta,0.0
berger,0.0
berry,6.428571428571429e-05
besharati,7.142857142857143e-06
besiar,0.0
besiyar,0.0
best,0.00010714285714285714
bestrest,0.0
besyar,0.0
beta,7.142857142857143e-06
betaine,0.0
better,0.0
beurer,7.142857142857143e-06
beware,0.0
beyond,1.4285714285714285e-05
beyu,1.4285714285714285e-05
bezane,0.0
bezarin,0.0
bf,2.857142857142857e-05
bfb,0.0
bg,0.00014285714285714287
bgiram,0.0
bgirin,0.0
bgl,0.0
bgn,7.142857142857143e-06
bh,1.4285714285714285e-05
bi,0.0004857142857142857
bic,1.4285714285714285e-05
biderma,0.0
big,1.4285714285714285e-05
biin,0.0
bikit,0.0
bin,3.571428571428572e-05
binazir,0.0
binazire,0.0
bind,0.0
bingo,7.142857142857143e-06
bio,5e-05
biobizz,0.0
bioderma,7.142857142857143e-06
biohazard,0.0
bionic,7.142857142857143e-06
bionsen,7.142857142857143e-06
bios,2.1428571428571428e-05
bioshock,7.142857142857143e-06
biostar,7.142857142857143e-06
birds,0.0
bishtare,0.0
bishtari,0.0
bisimmojaz,0.0
bit,0.00015
bita,7.142857142857143e-06
bitcoin,0.0
bitlocker,1.4285714285714285e-05
bitrange,7.142857142857143e-06
bitswap,0.0
biuld,0.0
biw,0.0
bixby,1.4285714285714285e-05
bjnvhnot,0.0
bk,2.1428571428571428e-05
bkharid,0.0
bkm,7.142857142857143e-06
bkr,0.0
bl,0.0013785714285714287
black,0.0003071428571428571
blackberry,3.571428571428572e-05
blackcrush,7.142857142857143e-06
blackcrystaltabcommentspage,0.0
blackplayer,7.142857142857143e-06
blade,2.1428571428571428e-05
blanc,7.142857142857143e-06
blast,7.142857142857143e-06
blaster,7.142857142857143e-06
blauer,0.0
blazer,7.142857142857143e-06
bldc,0.0
bleed,7.142857142857143e-06
blend,0.0
blender,0.0
bleu,7.142857142857143e-06
blitz,7.142857142857143e-06
blk,0.0
blnl,0.0
blockchain,0.0
blogfa,0.0
blood,3.571428571428572e-05
bloodborne,7.142857142857143e-06
bloody,7.142857142857143e-06
blr,0.0
blsw,7.142857142857143e-06
blu,0.00022857142857142857
blue,0.00017142857142857143
blueberry,0.0
bluedio,1.4285714285714285e-05
bluelight,0.0
blueray,0.0
bluesoleil,7.142857142857143e-06
bluetooth,5e-05
blur,2.857142857142857e-05
bluray,0.0
blurey,7.142857142857143e-06
blutooth,7.142857142857143e-06
blv,0.0
bm,5e-05
bmc,0.0
bmd,7.142857142857143e-06
bmg,0.0
bmi,7.142857142857143e-06
bmv,0.0
bmw,2.1428571428571428e-05
bmx,7.142857142857143e-06
bnc,0.0
bnr,0.0
bo,0.0020785714285714288
board,9.285714285714286e-05
boardgame,0.0
boards,0.0
bocsh,7.142857142857143e-06
bod,1.4285714285714285e-05
bodam,0.0
bodanesh,0.0
bode,0.0
bodeux,0.0
body,1.4285714285714285e-05
boe,0.0
bogart,0.0
bohemia,0.0
bohnanza,0.0
boho,7.142857142857143e-06
boili,7.142857142857143e-06
bokone,0.0
bold,2.1428571428571428e-05
bolt,2.857142857142857e-05
bomb,0.0
boncafe,7.142857142857143e-06
bonus,0.0
bood,0.0
boodan,0.0
book,0.0001
boom,4.2857142857142856e-05
boombox,1.4285714285714285e-05
boomsound,7.142857142857143e-06
booood,0.0
boost,0.00010714285714285714
booster,2.1428571428571428e-05
boot,2.1428571428571428e-05
bootloader,7.142857142857143e-06
boox,7.142857142857143e-06
boppy,0.0
borbone,0.0
boring,0.0
born,3.571428571428572e-05
borough,7.142857142857143e-06
boru,0.0
boruhealthmachine,0.0
bosch,0.0
bose,0.0
bosh,0.0
boss,1.4285714285714285e-05
bossman,7.142857142857143e-06
bost,1.4285714285714285e-05
boster,0.0
boter,0.0
bought,0.0
bourjois,0.0
bow,7.857142857142857e-05
box,0.00125
boye,7.142857142857143e-06
boyue,0.0
bozorge,0.0
bozorgtara,0.0
bp,0.00014285714285714287
bpa,7.142857142857143e-06
bpm,7.142857142857143e-06
bpod,0.0
br,0.00021428571428571427
brake,7.142857142857143e-06
braking,0.0
brandi,0.0
braun,0.0
brc,0.0
break,3.571428571428572e-05
breaker,0.0
breaking,0.0
breastlight,0.0
breclet,7.142857142857143e-06
bref,7.142857142857143e-06
breffo,0.0
brick,0.0
bridge,2.1428571428571428e-05
brigade,7.142857142857143e-06
bright,2.1428571428571428e-05
brightness,2.1428571428571428e-05
brilliant,0.0
brisk,7.142857142857143e-06
brk,0.0
broadcast,0.0
broadcom,0.0
brody,0.0
broken,0.0
brother,7.142857142857143e-06
brown,0.0
browser,0.0
brushless,0.0
brust,0.0
brwel,7.142857142857143e-06
brz,0.0
bs,0.00014285714285714287
bsalam,0.0
bsb,7.142857142857143e-06
bsbsjsnshuvhuva,0.0
bsiyar,0.0
bsnl,0.0
bsod,7.142857142857143e-06
bst,0.0
bt,0.0001
btc,0.0
btcheat,0.0
btnotification,0.0
bts,7.142857142857143e-06
btsupportonoff,0.0
bttlefiel,7.142857142857143e-06
btu,7.142857142857143e-06
btunn,0.0
bubs,7.142857142857143e-06
bucket,7.142857142857143e-06
bud,1.4285714285714285e-05
budapest,0.0
buds,1.4285714285714285e-05
buff,1.4285714285714285e-05
buffer,0.0
bugs,0.0
build,7.142857142857143e-06
bulk,7.142857142857143e-06
burberry,0.0
burg,0.0
burn,5e-05
burner,2.857142857142857e-05
burnin,0.0
burst,7.142857142857143e-06
bus,2.1428571428571428e-05
business,1.4285714285714285e-05
busuu,7.142857142857143e-06
but,4.2857142857142856e-05
butter,0.0
button,2.857142857142857e-05
buvdbbcbcdfvvv,0.0
buy,1.4285714285714285e-05
buys,7.142857142857143e-06
bv,3.571428571428572e-05
bvb,0.0
bvdf,7.142857142857143e-06
bvk,7.142857142857143e-06
bvlgari,2.1428571428571428e-05
bw,1.4285714285714285e-05
bx,7.142857142857143e-06
bxcooper,0.0
by,0.00017142857142857143
byd,7.142857142857143e-06
byds,0.0
bye,0.0
byerley,0.0
byron,0.0
bys,0.0
bz,0.0
bzanid,0.0
bzarid,0.0
c,0.016021428571428572
ca,0.0020357142857142857
cab,5.714285714285714e-05
cabbrix,7.142857142857143e-06
cabinet,0.0
cable,2.857142857142857e-05
cableampampquot,0.0
cache,7.142857142857143e-06
caching,7.142857142857143e-06
cad,6.428571428571429e-05
caddy,2.1428571428571428e-05
cadet,7.142857142857143e-06
cady,0.0
cafe,1.4285714285714285e-05
cal,0.00037142857142857143
calibre,0.0
call,0.00025
caller,7.142857142857143e-06
calling,7.142857142857143e-06
calories,0.0
calvin,7.142857142857143e-06
cam,0.00022857142857142857
camelion,2.857142857142857e-05
camera,0.00012857142857142858
cameramx,7.142857142857143e-06
camp,7.142857142857143e-06
camping,0.0
camtasia,7.142857142857143e-06
can,0.0003214285714285714
canada,0.0
cancel,2.1428571428571428e-05
canceling,1.4285714285714285e-05
cancelling,0.0
canco,2.1428571428571428e-05
cancroglobalimagesv,0.0
candy,7.142857142857143e-06
cannon,1.4285714285714285e-05
canon,0.00013571428571428572
canoon,7.142857142857143e-06
canooooon,7.142857142857143e-06
canqueror,7.142857142857143e-06
cant,7.142857142857143e-06
cantu,0.0
capo,0.0
cappuccino,7.142857142857143e-06
caprice,7.142857142857143e-06
caps,1.4285714285714285e-05
capslock,0.0
captain,0.0
capture,0.0
car,0.00025714285714285715
carbon,1.4285714285714285e-05
carcadeh,0.0
card,0.00011428571428571428
cardboard,1.4285714285714285e-05
cards,7.142857142857143e-06
care,5.714285714285714e-05
carl,7.142857142857143e-06
carolina,7.142857142857143e-06
carpa,7.142857142857143e-06
carpet,0.0
carrizo,7.142857142857143e-06
carstar,7.142857142857143e-06
cart,0.0
cartridge,0.0
cas,0.00014285714285714287
casche,0.0
case,3.571428571428572e-05
cash,1.4285714285714285e-05
casio,1.4285714285714285e-05
caspian,7.142857142857143e-06
cast,6.428571428571429e-05
castle,0.0
cat,0.00044285714285714284
catalyst,7.142857142857143e-06
catan,0.0
cate,0.00011428571428571428
caterpillar,0.0
catnip,0.0
cause,2.1428571428571428e-05
caviar,7.142857142857143e-06
cavity,0.0
cb,2.857142857142857e-05
cbc,7.142857142857143e-06
cbd,0.0
cbv,0.0
cc,0.0002
ccalltm,0.0
ccbo,0.0
ccfss,0.0
ccsc,0.0
ccsd,0.0
cct,0.0
cd,0.00042857142857142855
cdcss,0.0
cdi,7.142857142857143e-06
ce,0.0019285714285714286
cea,1.4285714285714285e-05
cechya,7.142857142857143e-06
cechzc,0.0
cedec,7.142857142857143e-06
celebrat,0.0
celebration,0.0
celera,7.142857142857143e-06
cell,9.285714285714286e-05
cellphone,0.0
cellprint,7.142857142857143e-06
cement,7.142857142857143e-06
center,2.1428571428571428e-05
ceramic,0.0
cerberus,7.142857142857143e-06
cermany,7.142857142857143e-06
certificate,7.142857142857143e-06
certification,7.142857142857143e-06
cf,1.4285714285714285e-05
cfa,7.142857142857143e-06
cfl,7.142857142857143e-06
cfp,0.0
cg,7.142857142857143e-06
ch,0.0021785714285714286
chador,0.0
chadorhamakhsosan,0.0
chager,7.142857142857143e-06
chages,7.142857142857143e-06
chair,0.0
chamedanmag,0.0
champ,7.142857142857143e-06
champion,7.142857142857143e-06
chance,1.4285714285714285e-05
chand,0.0
chandrooz,0.0
chanel,1.4285714285714285e-05
chaneleternitysilver,0.0
change,2.857142857142857e-05
changer,7.142857142857143e-06
channel,0.0
charg,0.00045
charge,0.0003642857142857143
charged,7.142857142857143e-06
charger,5e-05
charging,9.285714285714286e-05
charj,1.4285714285714285e-05
charje,7.142857142857143e-06
chart,9.285714285714286e-05
charterhouse,0.0
charts,0.0
chasbesh,0.0
chassis,0.0
chastity,0.0
chateau,0.0
chatro,0.0
che,0.00024285714285714286
cheapset,7.142857142857143e-06
cheat,0.0
check,2.1428571428571428e-05
chef,1.4285714285714285e-05
chemex,0.0
chemistry,0.0
chemystry,0.0
chera,0.0
cherish,0.0
chest,7.142857142857143e-06
chestunt,0.0
chic,7.142857142857143e-06
chicco,0.0
chicken,0.0
chiest,7.142857142857143e-06
chika,0.0
chiken,0.0
chim,0.0
chin,8.571428571428571e-05
china,6.428571428571429e-05
chine,1.4285714285714285e-05
chinese,7.142857142857143e-06
chinj,0.0
chioco,0.0
chip,0.0
chizi,0.0
chloride,0.0
chndeeee,0.0
choice,1.4285714285714285e-05
choil,7.142857142857143e-06
chon,7.142857142857143e-06
chong,7.142857142857143e-06
choobe,0.0
chose,0.0
chr,4.2857142857142856e-05
chra,0.0
christ,0.0
chroma,7.142857142857143e-06
chrome,1.4285714285714285e-05
chromecast,0.0
cht,7.142857142857143e-06
ci,0.0004
